Année scolaire 2025-2026,,,,,,,,,,,,,
,,,,Emploi  du  temps  NDRC 1,,,,,,,,,
Version du 09/12,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,08h30-09h30,09h30-10h30,10h30-11h30,11h30-12h30,12h30-13h30,13h30-14h30,14h30-15h30,15h30-16h30,16h30-17h30,
Lun.,15,Sept.,2025,,RÉUNION DE RENTRÉE (9h30-12h30),,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h),,,
Mar.,16,Sept.,2025,E3 - CEJM - E. TABONI,,,,,E5B : Pratique DRCD - J. CARNIEL,,,,
Lun.,22,Sept.,2025,E4 - RCNV - F. GIL,,,,,,,,,
Mar.,23,Sept.,2025,E3 - CEJM - E. TABONI,,,,,E4 - RCNV - F. GIL,,,,
Lun.,29,Sept.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,,,,,
Mar.,30,Sept.,2025,E3 - CEJM - E. TABONI,,,,,E1 - Culture générale et expression - L.GIRAUD,,,,
Lun.,6,Oct.,2025,,,,,,E2 - Anglais - J. CERNIS ,,,,
Mar.,7,Oct.,2025,,,E3 - CEJM - E. TABONI (10h30-12h30),,,E5B : Pratique DRCD - J. CARNIEL,,,,
Lun.,13,Oct.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,Atelier Pro - A. MAILLARD,,,,
Mar.,14,Oct.,2025,E6 - RCAR - L. AMADOR,,,,,E1 - Culture générale et expression - L.GIRAUD,,,,
Mer.,15,Oct.,2025,JOURNÉE D'INTÉGRATION 1ÈRE / 3ÈME ANNÉE,,,,,,,,,
Lun.,20,Oct.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h),,,
Mar.,21,Oct.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,E3 - CEJM - E. TABONI (13h30-15h30),,,,
Lun.,27,Oct.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,Atelier Pro - A. MAILLARD,,,,
Mar.,28,Oct.,2025,E5B : Pratique DRCD - J. CARNIEL,,,,,E4 - RCNV - F. GIL,,,,
Lun.,3,Nov.,2024,E2 - Anglais - J. CERNIS ,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 18h),,,
Mar.,4,Nov.,2025,E6 - RCAR - L. AMADOR,,,,,E5B : Pratique DRCD - J. CARNIEL,,,,
Lun.,10,Nov.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,E4 - RCNV - F. GIL,,,,
Mar.,11,Nov.,2025,FÉRIÉ / ENTREPRISE,,,,,,,,,
Lun.,17,Nov.,2025,ENTREPRISE,,,,,,,,,
Mar.,18,Nov.,2025,E6 - RCAR - L. AMADOR,,,,,E5B : Pratique DRCD - J. CARNIEL,,,,
Mer.,19,Nov.,2025,MASTERCLASS,,,,,,,,,
Lun.,24,Nov.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,Atelier Pro - A. MAILLARD,,,J. CARNIEL / Avocats,
Mar.,25,Nov.,2025,E6 - RCAR - L. AMADOR,,,,,E3 - CEJM - E. TABONI (13h30-15h30),,,,
Lun.,1,Déc.,2025,E4 - RCNV - F. GIL,,,,,,E1 - Culture générale et expression - L.GIRAUD (14h - 17h),,,
Mar.,2,Déc.,2025,,,,,,E4 - RCNV - F. GIL,,,,
Mer.,3,Déc.,2025,ATELIERS,,,,,,,,,
Lun.,8,Déc.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,Atelier Pro - A. MAILLARD,,,,
Mar.,9,Déc.,2025,E6 - RCAR - L. AMADOR,,,,,,,,,
Lun.,15,Déc.,2025,E2 - Anglais - J. CERNIS ,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,,
Mar.,16,Déc.,2025,E4 - RCNV - F. GIL,,,,,E3 - CEJM - E. TABONI (13h30-15h30),,,,
Lun.,5,Janv.,2026,ENTREPRISE,,,,,,,,,
Mar.,6,Janv.,2026,E6 - RCAR - L. AMADOR,,,,,,,E3 - CEJM - E. TABONI (15h30-17h30),,
Lun.,12,Janv.,2026,E5A : Dossier DRCD - A. MAILLARD,,,,,Atelier Pro - A. MAILLARD,,,,
Mar.,13,Janv.,2026,E6 - RCAR - L. AMADOR,,,,,E3 - CEJM - E. TABONI (13h30-15h30),,,,
Lun.,19,Janv.,2026,ORAUX E6 - RCAR - L. AMADOR  (15MIN),,,,,ÉCRIT E1 - CULTURE GÉNÉRALE ET EXP. - L. GIRAUD  (3H),,,,
Mar.,20,Janv.,2026,ÉCRIT E3 - CEJM - E. TABONI  (4H),,,,,ÉCRIT E5A - RCDD (DOSSIER) - A. MAILLARD  (3H),,,,
Mer.,21,Janv.,2026,ORAUX E5B - RCDD (PRATIQUE) - J. CARNIEL  (40MIN)		,,,,,BTS BLANC S1,,,,
Jeu.,22,Janv.,2026,,ÉCRIT E4 - RCNV - F. GIL  (2H30),,,,BTS BLANC S1,,,,
Lun.,26,Janv.,2026,E4 - RCNV - F. GIL,,,,,E4 - RCNV - F. GIL,,,,
Mar.,27,Janv.,2026,,,E3 - CEJM - E. TABONI (10h30-12h30),,,Travail sur les fiches - en Autonomie - au CFA obligatoire,,,,
Lun.,2,Fév.,2026,,Travail sur les fiches - en Autonomie - au CFA obligatoire (9h30-12h30),,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h),,,
Mar.,3,Fév.,2026,E6 - RCAR - L. AMADOR,,,,,E5B : Pratique DRCD - J. CARNIEL,,,,
Lun.,9,Fév.,2026,E5A : Dossier DRCD - A. MAILLARD,,,,,Atelier Pro - A. MAILLARD,,,,
Mar.,10,Fév.,2026,E6 - RCAR - L. AMADOR,,,,,E5B : Pratique DRCD - J. CARNIEL,,,,
Lun.,16,Fév.,2026,E2 - Anglais - J. CERNIS ,,,,,E5B : Pratique DRCD - J. CARNIEL,,,CONSEIL DE CLASSE,
Mar.,17,Fév.,2026,E6 - RCAR - L. AMADOR,,,,,E5B : Pratique DRCD - J. CARNIEL,,,,
Lun.,23,Fév.,2026,E5A : Dossier DRCD - A. MAILLARD,,,,,E5A : Dossier DRCD - A. MAILLARD,,,,
Mar.,24,Fév.,2026,E5B : Pratique DRCD - J. CARNIEL,,,,,,,E3 - CEJM - E. TABONI (15h30-17h30),,
Lun.,2,Mars,2026,E4 - RCNV - F. GIL,,,,,E3 - CEJM - E. TABONI (sous groupe),,,,
Mar.,3,Mars,2026,E5B : Pratique DRCD - J. CARNIEL,,,,,E5B : Pratique DRCD - J. CARNIEL,,,,
Lun.,9,Mars,2026,ENTREPRISE,,,,,,,,,
Mar.,10,Mars,2026,E6 - RCAR - L. AMADOR,,,,,E3 - CEJM - E. TABONI (13h30-15h30),,,,
Lun.,16,Mars,2026,,Travail sur les fiches - en Autonomie - au CFA obligatoire (9h30-12h30),,,,E4 - RCNV - F. GIL,,,,
Mar.,17,Mars,2026,E6 - RCAR - L. AMADOR,,,,,E1 - Culture générale et expression - L.GIRAUD,,,,
Mer.,18,Mars,2026,MASTERCLASS,,,,,,,,,
Lun.,23,Mars,2026,ENTREPRISE,,,,,,,,,
Mar.,24,Mars,2026,E4 - RCNV - F. GIL,,,,,E5B : Pratique DRCD - J. CARNIEL,,,,
Lun.,30,Mars,2026,E2 - Anglais - J. CERNIS ,,,,,Travail sur les fiches - en Autonomie - au CFA obligatoire,,,,
Mar.,31,Mars,2026,E6 - RCAR - L. AMADOR,,,,,E1 - Culture générale et expression - L.GIRAUD,,,,
Lun.,6,Avr.,2026,FÉRIÉ / ENTREPRISE,,,,,,,,,
Mar.,7,Avr.,2026,E6 - RCAR - L. AMADOR,,,,,E6 - RCAR - L. AMADOR,,,,
Lun.,13,Avr.,2026,ENTREPRISE,,,,,,,,,
Mar.,14,Avr.,2026,E6 - RCAR - L. AMADOR,,,,,E1 - Culture générale et expression - L.GIRAUD,,,,
Lun.,20,Avr.,2026,E4 - RCNV - F. GIL,,,,,Travail sur les fiches - en Autonomie - au CFA obligatoire,,,,
Mar.,21,Avr.,2026,E5B : Pratique DRCD - J. CARNIEL,,,,,E5B : Pratique DRCD - J. CARNIEL,,,,
Lun.,27,Avr.,2026,,,E3 - CEJM - E. TABONI (10h30-12h30),,,E4 - RCNV - F. GIL,,,,
Mar.,28,Avr.,2026,E2 - Anglais - J. CERNIS ,,,,,,,E3 - CEJM - E. TABONI (15h30-17h30),,
Lun.,4,Mai,2026,,Travail sur les fiches - en Autonomie - au CFA obligatoire (9h30-12h30),,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h),,,
Mar.,5,Mai,2026,E4 - RCNV - F. GIL,,,,,E6 - RCAR - L. AMADOR,,,,
Lun.,11,Mai,2026,E4 - RCNV - F. GIL,,,,,E4 - RCNV - F. GIL,,,,
Mar.,12,Mai,2026,E6 - RCAR - L. AMADOR,,,,,E6 - RCAR - L. AMADOR,,,,
Lun.,18,Mai,2026,E3 - CEJM - E. TABONI (8h30-10h30),,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h),,,
Mar.,19,Mai,2026,,,E3 - CEJM - E. TABONI (10h30-12h30),,,E5B : Pratique DRCD - J. CARNIEL,,,,
Lun.,25,Mai,2026,FÉRIÉ / ENTREPRISE,,,,,,,,,
Mar.,26,Mai,2026,E6 - RCAR - L. AMADOR,,,,,E3 - CEJM - E. TABONI (13h30-15h30),,,,
Lun.,1,Juin,2026,ENTREPRISE,,,,,,,,,
Mar.,2,Juin,2026,E6 - RCAR - L. AMADOR,,,,,,,E3 - CEJM - E. TABONI (15h30-17h30),,
Lun.,8,Juin,2026,,Travail sur les fiches - en Autonomie - au CFA obligatoire (9h30-12h30),,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h),,,
Mar.,9,Juin,2026,E5A : Dossier DRCD - A. MAILLARD,,,,,E5B : Pratique DRCD - J. CARNIEL,,,,
Lun.,15,Juin,2026,BTS BLANC S2,,,,,BTS BLANC S2,,,,
Mar.,16,Juin,2026,BTS BLANC S2,,,,,BTS BLANC S2,,,,
Mer.,17,Juin,2026,BTS BLANC S2,,,,,BTS BLANC S2,,,,
Jeu.,18,Juin,2026,BTS BLANC S2,,,,,BTS BLANC S2,,,,
Lun.,22,Juin,2026,Atelier Pro - A. MAILLARD,,,,,E4 - RCNV - F. GIL,,,,
Mar.,23,Juin,2026,,Travail sur les fiches - en Autonomie - au CFA obligatoire (9h30-12h30),,,,E3 - CEJM - E. TABONI (13h30-15h30),,,,
Lun.,29,Juin,2026,E2 - Anglais - J. CERNIS ,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h),,,
Mar.,30,Juin,2026,,,E3 - CEJM - E. TABONI (10h30-12h30),,,E4 - RCNV - F. GIL,,,,
Lun.,6,Juil.,2026,E4 - RCNV - F. GIL,,,,,E4 - RCNV - F. GIL,,,,CONSEIL DE CLASSE
Mar.,7,Juil.,2026,E6 - RCAR - L. AMADOR,,,,,E6 - RCAR - L. AMADOR,,,,